Name,Range_km,Efficiency,Weight_kg,Acceleration(0-100),Firth_stop_range_km,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price_Euro
Smart EQ fortwo coupe,100,167,1095,11.6,71,16.7,0,0,260,241,21.94
Kia EV6 Long Range 2WD,455,176,2050,7.3,565,80.0,205,1800,542,111,49.99
Polestar 5 Performance,530,200,2465,3.2,637,106.0,210,1800,427,256,141.6
Citroen e-C3 Urban Range 30 kWh,175,170,1413,11.6,156,29.8,30,0,310,119,19.99
Zeekr 001 Performance AWD,480,196,2410,3.8,524,94.0,135,2000,569,140,66.95
BYD SEALION 7 82.5 kWh AWD Design,405,204,2415,4.5,431,82.5,115,1500,578,138,53.99
Leapmotor C10 RWD 81.9 kWh,410,200,2130,6.6,439,81.9,120,1500,467,103,41.9
Tesla Model S AWD,590,161,2167,3.2,667,95.0,140,1600,798,188,110.97
Volkswagen e-Up!,205,158,1248,11.9,188,32.3,29,0,250,136,29.995
Citroen e-C4,285,162,1646,9.9,308,46.3,74,0,380,114,31.9
Toyota C-HR+ 57.7 kWh,330,164,1845,8.3,369,54.0,85,0,416,121,41.99
Opel Corsa-e,295,157,1530,8.1,318,46.3,74,0,267,127,36.395
Tesla Model S Plaid,565,168,2272,2.4,639,95.0,140,0,798,214,120.97
Tesla Model 3 Performance,440,167,1931,3.7,528,73.5,136,0,542,145,61.48
XPENG P7 RWD Long Range,495,167,2095,6.7,552,82.7,135,0,440,102,49.6
Polestar 4 Long Range Dual Motor,485,194,2430,3.8,524,94.0,135,2000,541,152,71.2
Volkswagen ID. Buzz LWB Pro,390,221,2628,7.9,432,86.0,145,1000,1340,159,62.719
Mazda MX-30,170,176,1720,9.7,167,30.0,30,0,366,212,35.99
Tesla Model S P100D,475,200,2316,2.7,477,95.0,100,0,895,311,145.42
Tesla Model S 85D,420,192,2184,4.4,423,80.75,95,0,895,225,92.8
Peugeot e-208,285,162,1530,9.0,308,46.3,74,0,265,129,39.1
Tesla Model S 90D,455,188,2223,4.4,449,85.5,90,0,895,230,103.32
Mini Cooper E,250,146,1615,7.3,267,36.6,60,0,200,138,32.9
Tesla Model 3 Long Range AWD,555,142,1899,4.4,654,79.0,125,1000,682,96,50.97
Audi e-tron GT quattro,415,202,2350,4.1,512,83.7,200,0,490,256,106.05
Volkswagen ID.7 Pro S,525,164,2226,6.6,600,86.0,145,1000,532,113,59.095
Dacia Spring Electric 45,165,152,1009,19.1,151,25.0,29,0,343,107,16.9
Toyota Urban Cruiser 48.8 kWh,270,177,1775,9.6,248,47.8,45,750,244,123,31.99
Volkswagen ID.3 Pro,350,166,1812,9.6,372,58.0,75,0,385,104,35.46
XPENG G6 RWD Standard Range,380,178,2140,6.9,488,67.8,240,1500,571,117,43.6
Dacia Spring Electric 100,160,150,1111,9.6,160,24.0,35,0,342,123,18.7
Tesla Model S Long Range Plus,555,177,2255,3.8,620,98.0,125,0,894,156,81.99
Hyundai IONIQ 5 Standard Range 2WD,295,183,1905,8.5,367,54.0,140,750,588,162,43.9
Lucid Gravity Grand Touring,615,200,2759,3.6,729,123.0,210,2500,1663,193,116.9
Opel Mokka-e 50 kWh,260,178,1598,9.2,283,46.3,74,0,310,154,40.65
Zeekr 001 Long Range RWD,505,186,2275,7.2,547,94.0,135,1500,599,116,60.95
Hyundai IONIQ 5 Long Range 2WD,390,190,2010,7.3,487,74.0,196,1600,584,132,47.9
Renault Twingo Electric,135,158,1186,12.6,92,21.3,0,0,174,193,28.0
Volvo EX30 Single Motor,275,178,1840,5.7,306,49.0,80,1000,325,137,39.79
Polestar 2 Long Range Single Motor,475,166,2084,6.2,527,79.0,110,1500,448,113,52.69
Leapmotor B10 56.2 kWh,305,180,1855,8.0,350,55.0,100,750,430,95,29.9
MG ZS EV Standard Range,265,185,1645,8.6,257,49.0,50,500,448,133,33.99
Volvo EX30 Twin Motor Performance,340,191,1960,3.6,376,65.0,101,1600,325,145,51.69
Volvo EX40 Single Motor ER,400,198,2075,7.3,436,79.0,110,1500,441,133,55.49
Lucid Air Sapphire,610,193,2495,2.0,693,118.0,190,0,910,414,250.0
Hyundai Kona Electric 39 kWh,245,160,1610,9.9,223,39.2,37,0,332,149,36.4
Hyundai INSTER Standard Range,255,153,1380,11.7,266,39.0,60,0,280,98,23.9
