Lat_degrees,Long_degrees,Depth,Type,Magnituda,Is_Shallow,Mag_Level
4.12,97.48,8,origin,4.2,1,dangerous
37.078,31.908,7,origin,2.0,1,safe
37.031,31.815,6,origin,2.2,1,safe
-23.62,-67.98,218,origin,3.0,0,safe
-23.84,-67.17,233,origin,3.4,0,dangerous
37.43,36.424,8,origin,1.0,1,safe
37.716,-3.5,7,origin,1.8,1,safe
37.996,36.365,5,origin,1.9,1,safe
38.001,36.359,7,origin,2.0,1,safe
38.708,-29.044,5,origin,2.3,1,safe
6.37,123.73,18,origin,3.8,1,dangerous
9.584,-84.961,12,origin,3.4,1,dangerous
9.56,-84.93,9,origin,3.6,1,dangerous
38.203,38.722,6,origin,1.4,1,safe
4.12,128.4,12,origin,4.6,1,dangerous
4.13,128.399,10,origin,4.5,1,dangerous
2.69,127.57,32,origin,4.3,1,dangerous
40.921,32.383,5,origin,1.6,1,safe
40.876,32.389,12,origin,1.7,1,safe
38.145,-122.04,4,origin,2.2,1,safe
37.534,37.26,11,origin,1.0,1,safe
17.68,119.39,30,origin,3.5,1,dangerous
37.316,27.965,7,origin,1.2,1,safe
48.01,17.34,7,origin,2.6,1,safe
38.786,-122.774,1,origin,2.6,1,safe
19.156,-155.353,28,origin,2.2,1,safe
39.136,28.324,13,origin,1.3,1,safe
39.148,28.317,7,origin,1.6,1,safe
-9.25,113.55,12,origin,2.6,1,safe
15.76,-95.001,16,origin,3.8,1,dangerous
40.168,31.787,7,origin,1.8,1,safe
36.742,29.289,7,origin,1.2,1,safe
19.189,-155.497,31,origin,2.5,1,safe
37.29,27.936,7,origin,1.2,1,safe
17.484,-94.789,150,origin,4.0,0,dangerous
24.26,94.3,10,origin,3.4,1,dangerous
-8.71,118.97,96,origin,2.6,0,safe
-2.06,120.67,8,origin,2.9,1,safe
39.199,28.224,6,origin,1.2,1,safe
39.639,28.963,7,origin,1.2,1,safe
77.001,20.175,8,origin,,1,
76.882,21.077,8,origin,,1,
38.869,-122.864,12,origin,2.3,1,safe
19.051,-155.372,34,origin,2.3,1,safe
36.615,-5.328,12,origin,1.6,1,safe
42.991,-7.83,10,origin,2.4,1,safe
39.004,25.964,6,origin,1.4,1,safe
39.484,25.849,5,origin,1.5,1,safe
1.55,122.12,10,origin,2.5,1,safe
37.812,27.778,7,origin,1.0,1,safe
35.06,25.38,14,origin,2.4,1,safe
35.089,25.384,23,origin,2.2,1,safe
13.966,44.001,11,origin,,1,
-6.81,129.56,179,origin,4.0,0,dangerous
38.023,37.682,14,origin,1.2,1,safe
45.888,150.642,117,origin,4.3,0,dangerous
45.78,150.94,120,origin,4.6,0,dangerous
45.059,151.864,32,origin,3.7,1,dangerous
45.57,10.501,12,origin,1.5,1,safe
2.48,126.84,96,origin,2.7,0,safe
0.31,125.3,15,origin,2.5,1,safe
39.2,28.003,5,origin,1.6,1,safe
39.189,28.084,7,origin,1.3,1,safe
1.31,121.16,9,origin,2.7,1,safe
46.002,7.27,4,origin,1.8,1,safe
31.683,-104.093,20,origin,2.1,1,safe
-22.474,-68.571,76,origin,3.2,0,dangerous
-22.46,-68.6,109,origin,3.3,0,dangerous
31.668,-104.117,4,origin,2.0,1,safe
14.02,125.21,10,origin,3.5,1,dangerous
37.45,35.022,7,origin,1.7,1,safe
37.374,34.974,9,origin,1.9,1,safe
37.45,35.022,7,origin,1.7,1,safe
37.374,34.974,9,origin,1.9,1,safe
42.859,-1.339,5,origin,1.7,1,safe
38.039,38.216,12,origin,1.0,1,safe
38.045,38.192,25,origin,1.1,1,safe
-17.899,-177.941,606,origin,4.5,0,dangerous
61.377,-150.175,30,origin,2.0,1,safe
-22.35,-68.84,119,origin,3.1,0,dangerous
36.991,-13.672,10,origin,3.5,1,dangerous
37.156,27.849,17,origin,1.4,1,safe
37.197,27.843,7,origin,1.3,1,safe
17.753,-68.167,59,origin,3.3,1,dangerous
57.802,-154.211,55,origin,2.3,1,safe
39.154,28.276,7,origin,1.2,1,safe
39.108,28.13,22,origin,0.9,1,safe
-11.185,162.615,10,origin,4.6,1,dangerous
36.604,-5.364,3,origin,1.5,1,safe
38.634,39.716,8,origin,1.8,1,safe
38.62,39.71,9,origin,1.7,1,safe
39.205,29.035,6,origin,1.0,1,safe
61.454,-148.056,17,origin,2.6,1,safe
61.472,-148.049,21,origin,2.5,1,safe
39.105,28.363,11,origin,1.0,1,safe
39.147,28.324,7,origin,0.9,1,safe
39.263,28.904,12,origin,0.8,1,safe
48.0,17.35,10,origin,2.5,1,safe
2.31,127.26,32,origin,2.6,1,safe
-10.3,117.51,172,origin,2.7,0,safe
-3.69,133.56,23,origin,3.9,1,dangerous
38.829,-122.796,1,origin,2.2,1,safe
38.841,-122.782,1,origin,2.1,1,safe
-5.35,140.77,10,origin,2.9,1,safe
38.808,-122.779,3,origin,2.9,1,safe
38.817,-122.763,10,origin,4.1,1,dangerous
38.823,-122.784,2,origin,4.2,1,dangerous
38.823,-122.791,4,mt,4.3,1,dangerous
39.23,28.94,15,origin,1.3,1,safe
39.244,28.97,12,origin,1.2,1,safe
38.531,26.45,5,origin,1.3,1,safe
38.509,26.536,7,origin,1.4,1,safe
39.88,20.519,15,origin,,1,
37.438,35.104,7,origin,1.3,1,safe
40.9,142.1,50,origin,3.9,1,dangerous
41.01,141.846,68,origin,4.4,1,dangerous
41.03,142.3,80,origin,4.5,0,dangerous
39.362,140.892,15,origin,4.3,1,dangerous
16.529,-94.697,103,origin,4.1,0,dangerous
-0.78,127.41,3,origin,2.8,1,safe
-63.019,169.451,12,mt,5.6,1,very deangerous
-63.271,168.917,10,origin,5.3,1,very deangerous
-63.24,169.73,12,mt,5.7,1,very deangerous
-63.09,169.41,23,origin,5.3,1,very deangerous
-62.969,169.547,10,origin,5.6,1,very deangerous
-63.05,169.66,10,origin,5.4,1,very deangerous
-63.362,169.568,129,mt,5.8,0,very deangerous
-63.362,169.568,10,origin,5.4,1,very deangerous
-63.372,169.939,10,origin,5.4,1,very deangerous
-63.32,170.43,10,origin,5.9,1,very deangerous
-0.22,123.93,69,origin,3.6,1,dangerous
-27.6,-67.42,143,origin,2.5,0,safe
12.33,122.39,7,origin,3.0,1,safe
-11.27,162.45,12,mt,6.0,1,very deangerous
-11.193,162.479,8,mt,5.9,1,very deangerous
-11.004,162.487,48,origin,5.8,1,very deangerous
-11.23,162.34,40,origin,5.4,1,very deangerous
-11.04,162.685,12,mt,6.0,1,very deangerous
-11.26,162.63,40,origin,5.8,1,very deangerous
-11.17,162.41,12,mt,6.0,1,very deangerous
