Rank,Score,Name,Acedemik Reputation,Students,Citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_faculty_ratio,sustainability_score,international_research_network
"
                     901-950
                     
                        
                     
                  ",n/a,Universidad de Valladolid,16.1,7.7,7.1,41.2,6.4,20.3,9.6,59.2,84.9
"
                     901-950
                     
                        
                     
                  ",n/a,Universidad de los Andes - Chile,25.3,3.5,4.7,13.4,36.5,45.2,15.1,28.9,17.9
"
                     901-950
                     
                        
                     
                  ",n/a,University at Albany SUNY,10.1,10.1,44.1,7.3,9.7,12.8,5.3,47.4,63.2
"
                     901-950
                     
                        
                     
                  ",n/a,University of Alaska Fairbanks,3.4,5.5,19.9,99.7,3.5,5.9,6.3,37.9,40.4
"
                     901-950
                     
                        
                     
                  ",n/a,University of Hertfordshire,5.8,100,12.1,6.8,6.7,17,81.4,39,57.7
"
                     901-950
                     
                        
                     
                  ",n/a,University of Maribor,10.8,27.3,12.7,36.4,15.6,41.3,2.3,49.9,67.4
"
                     901-950
                     
                        
                     
                  ",n/a,University of North Texas,10.1,51.5,30.5,3.2,9.7,29.4,6.3,40.6,69
"
                     901-950
                     
                        
                     
                  ",n/a,University of Peshawar,9.4,2,12.3,87.2,11.9,19.2,n/a,25.8,49
"
                     901-950
                     
                        
                     
                  ",n/a,UPES,23.4,1.4,9.5,46.5,7.7,1.7,23.7,27.2,66.5
"
                     901-950
                     
                        
                     
                  ",n/a,University of Salford,10.8,88.2,12,9.1,7.9,13.8,55.6,43.4,61.6
"
                     901-950
                     
                        
                     
                  ",n/a,University of South Africa,13.8,13.3,11.7,1.2,13.6,96,n/a,43.3,92.5
"
                     901-950
                     
                        
                     
                  ",n/a,Università degli studi Roma Tre,24.7,7.8,15.5,3.3,14.6,11,8.8,56.2,66.7
"
                     901-950
                     
                        
                     
                  ",n/a,Université de Sherbrooke,8.2,13.9,24.2,24.2,4.4,31.8,62.6,48.5,55
"
                     901-950
                     
                        
                     
                  ",n/a,Virginia Commonwealth University,9.5,6,20,42.8,9.9,18.3,12.6,48.4,68.8
"
                     901-950
                     
                        
                     
                  ",n/a,Yeungnam University ,5.1,17.8,47.5,18.9,4.7,4.9,38.6,33.5,46.7
"
                     951-1000
                     
                        
                     
                  ",n/a,Al Nahrain University,8.2,1,3.7,98.9,24.1,10.1,2.5,29.4,15.6
"
                     951-1000
                     
                        
                     
                  ",n/a,Al-Quds University,10.1,90.5,2.8,19.4,20.5,12.3,72.3,40.1,15
"
                     951-1000
                     
                        
                     
                  ",n/a,Amity University,10.5,34.9,14.9,18.2,18.3,4.9,12.1,54.7,67.5
"
                     951-1000
                     
                        
                     
                  ",n/a,Athens University of Economics and Business,10.1,6.6,31.9,2.1,37.2,33.9,1.9,39.8,14.8
"
                     951-1000
                     
                        
                     
                  ",n/a,CY Cergy Paris University,5.2,59,7.4,64.9,5.2,1.3,55.1,31.4,47.9
"
                     951-1000
                     
                        
                     
                  ",n/a,Charles Sturt University,6.4,47.2,13.9,14.1,9.4,13.4,66,64.9,60.4
"
                     951-1000
                     
                        
                     
                  ",n/a,Clarkson University,1,38,47.3,19,4,12.2,42.9,26.9,31
"
                     951-1000
                     
                        
                     
                  ",n/a,Clemson University,9.6,10.6,24.8,18.5,15.2,13.5,16.3,47.7,75.8
"
                     951-1000
                     
                        
                     
                  ",n/a,Escuela Superior Politécnica del Litoral (ESPOL),22.7,2.4,5,32.6,21.5,12.3,20.1,49.3,27.4
"
                     951-1000
                     
                        
                     
                  ",n/a,Ferdowsi University of Mashhad,11.1,9.5,35.1,5.7,10.9,12.9,n/a,33.3,74.5
"
                     951-1000
                     
                        
                     
                  ",n/a,George Mason University,12,17.1,18,17.1,11.6,17.4,15.6,56.1,67.6
"
                     951-1000
                     
                        
                     
                  ",n/a,Guru Gobind Singh Indraprastha University,5.8,9.4,48.5,12.5,14.6,12.8,5,43,26.9
"
                     951-1000
                     
                        
                     
                  ",n/a,Immanuel Kant Baltic Federal University,7.7,53.2,3.1,86.3,4.7,1.9,28.1,32.1,34.5
"
                     951-1000
                     
                        
                     
                  ",n/a,Indian Institute of Technology Bhubaneswar,5,1.1,55.6,15.9,12.4,1.8,n/a,42.4,10.8
"
                     951-1000
                     
                        
                     
                  ",n/a,Ivane Javakhishvili Tbilisi State University,11.9,7.5,1.4,83.5,1.4,95.2,1.9,18.2,24.7
"
                     951-1000
                     
                        
                     
                  ",n/a,Abylkas Saginov Karaganda Technical University,10.3,25.6,1.3,90.3,16.9,7.8,15.5,29.7,3.1
"
                     951-1000
                     
                        
                     
                  ",n/a,Khazar University,7.8,37.1,3.3,60.6,15.1,11.9,82.3,27.5,7.6
"
                     951-1000
                     
                        
                     
                  ",n/a,Kumamoto University,9.2,6.9,21.4,67.5,4.4,3.4,8.2,50.4,33.9
"
                     951-1000
                     
                        
                     
                  ",n/a,Kyrgyz-Turkish Manas University,19.2,28.2,3,14.5,23,7.9,95.3,33.1,8.2
"
                     951-1000
                     
                        
                     
                  ",n/a,Nanjing Agricultural University,6.1,2.2,53,17.8,2.3,1.2,n/a,39.1,54.8
"
                     951-1000
                     
                        
                     
                  ",n/a,Nanjing Normal University,6.4,7.8,42.8,20.7,4.6,8.2,n/a,40.2,57.2
"
                     951-1000
                     
                        
                     
                  ",n/a,National Chung Cheng University,18.9,6.3,9.5,16.6,34.8,5.1,7.9,51.6,28.9
"
                     951-1000
                     
                        
                     
                  ",n/a,North South University,16.9,1.6,6.6,7.5,54.1,11.7,10.5,37.3,30.2
"
                     951-1000
                     
                        
                     
                  ",n/a,North-West University,8.4,3.1,24.9,7,14.9,24.8,9.2,60.4,94.6
"
                     951-1000
                     
                        
                     
                  ",n/a,Okayama University,11.5,11.6,14.7,67.5,5.1,3.4,8.3,58.3,41.7
"
                     951-1000
                     
                        
                     
                  ",n/a,Robert Gordon University,4,84.4,11.4,6.7,19.4,9.4,78.5,46.9,34.2
"
                     951-1000
                     
                        
                     
                  ",n/a,Rochester Institute of Technology (RIT),10,26.9,11.5,24.6,28.4,13.7,8.7,55.1,41.2
"
                     951-1000
                     
                        
                     
                  ",n/a,Sohar University,8.1,4.6,19.9,3.8,10.5,71,100,34.2,23.6
"
                     951-1000
                     
                        
                     
                  ",n/a,Sophia University,18.7,20.3,2.5,25.9,27.2,21.3,41,48.7,9.1
"
                     951-1000
                     
                        
                     
                  ",n/a,South Ural State University (National Research University),8.6,22.5,8.3,57.4,9.4,5.5,5.6,33.3,84.2
"
                     951-1000
                     
                        
                     
                  ",n/a,Saint Louis University,5.7,42.2,23.8,50.8,4.2,18.5,20.6,35.9,23.5
"
                     951-1000
                     
                        
                     
                  ",n/a,The University of Lahore,17.8,6,8.5,14.3,23.4,3.4,8,62.2,76.4
"
                     951-1000
                     
                        
                     
                  ",n/a,Universidad Autónoma Metropolitana (UAM),32.5,1.5,4.3,5.3,16,6.2,11.5,47.7,47.1
"
                     951-1000
                     
                        
                     
                  ",n/a,Universidad EAFIT,19.4,1.9,4.1,6.8,46,51.8,4.1,45.4,10.8
"
                     951-1000
                     
                        
                     
                  ",n/a,Universidad Externado de Colombia ,15.8,2.1,1.2,48.9,33.5,41.2,10.7,23.8,5.6
"
                     951-1000
                     
                        
                     
                  ",n/a,Universidad Nacional Mayor de San Marcos,28.9,n/a,1.7,11,28.4,53,n/a,24.3,32.9
"
                     951-1000
                     
                        
                     
                  ",n/a,Universidad Torcuato Di Tella,18.4,13.6,3.8,18.5,35.9,41.5,41.2,18.5,5.3
"
                     951-1000
                     
                        
                     
                  ",n/a,Universidad de Belgrano (UB),11.2,39,1,85.1,15.3,44.3,7.3,n/a,n/a
"
                     951-1000
                     
                        
                     
                  ",n/a,Universidad de Córdoba,15.5,n/a,18.1,32.8,6.5,5.9,n/a,46,79.5
"
                     951-1000
                     
                        
                     
                  ",n/a,Universidad Espíritu Santo (UEES),6.1,63.5,11.2,33.7,8.9,13.1,62.5,42.8,25.3
"
                     951-1000
                     
                        
                     
                  ",n/a,Universidad de La Sabana,30.1,2.6,3.6,21.8,30.1,14.4,3.7,31.5,17.6
"
                     951-1000
                     
                        
                     
                  ",n/a,Universita' degli Studi di Ferrara,9.3,6.8,47.3,3.6,4.7,7,3.8,54.2,65.5
"
                     951-1000
                     
                        
                     
                  ",n/a,Universitas Hasanuddin,23.5,3.1,1.7,41.9,17.5,22,11.9,53,20
"
                     951-1000
                     
                        
                     
                  ",n/a,University of Bahrain,14.3,10.5,5,8.1,15.1,55.5,94.1,28.9,38.7
"
                     951-1000
                     
                        
                     
                  ",n/a,University of Calabria,11.1,7.9,34.9,10.6,4.5,1.7,9.2,57.5,79.1
"
                     951-1000
                     
                        
                     
                  ",n/a,University of Cyberjaya,22.5,87.3,2.1,48.9,6.1,4.8,23.4,n/a,7.2
"
                     951-1000
                     
                        
                     
                  ",n/a,University of Ha'il,8.7,5.4,5,41.1,4.3,2.9,100,45.6,62.3
"
                     951-1000
                     
                        
                     
                  ",n/a,University of Lodz,15.4,19,6.9,47.9,7.3,21,5.7,29.8,75.7
"
                     951-1000
                     
                        
                     
                  ",n/a,University of Massachusetts Boston,13.8,27.1,23.3,14.4,23.5,7.4,7.2,49.4,35.3
"
                     951-1000
                     
                        
                     
                  ",n/a,University of the Western Cape,12,5.5,23.9,6.1,6.4,28.1,30.3,35.7,84.4
"
                     951-1000
                     
                        
                     
                  ",n/a,Wuhan University of Technology,7.2,4.4,41.2,24.1,4.6,10.1,n/a,34.9,64.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Adamson University ,39.3,2.8,1.7,7.6,17.9,3.5,18.1,10.1,4.8
"
                     1001-1200
                     
                        
                     
                  ",n/a,Aga Khan University,6.4,2,11.4,100,10,8.3,1.5,22.6,18.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Al-Azhar University,21.5,16.8,2,14.9,13.9,33.2,1.7,35.3,64.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Alexandru Ioan Cuza University,11.7,17,5.8,7.8,20.6,23.1,4.6,48.7,49.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Aligarh Muslim University,15.4,1.8,24.7,18.4,5.3,3.2,n/a,45.8,64.8
"
                     1001-1200
                     
                        
                     
                  ",n/a,Almaty Technological University,5.9,14.4,1.1,93.9,8.9,4.2,27.8,26.6,4.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Amrita Vishwa Vidyapeetham,6.9,2.5,10.7,39.2,6.6,1.2,36.7,26.8,67.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,An-Najah National University,13.5,47.4,4.3,11.5,14.5,11.3,49.8,47.1,39
"
                     1001-1200
                     
                        
                     
                  ",n/a,"Arab Academy for Science, Technology and Maritime Transport (AASTMT)",7.5,34.9,2.4,44.7,12.4,16.8,9.2,29.7,27
"
                     1001-1200
                     
                        
                     
                  ",n/a,Asfendiyarov Kazakh National Medical University,7.3,76.8,1.3,67.2,8.8,7.8,15.8,n/a,6.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Assiut University ,16.3,7.2,4,20.7,15.1,3,21.1,53.3,66.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Azerbaijan University of Architecture and Construction (AzUAC),25.7,14.5,1,42.1,20.7,11.8,9.9,25.8,1.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Banaras Hindu University,18.9,3,18.8,14.4,10.6,15.6,1.5,44.5,59.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Baylor University,8.7,6.6,12.8,17.5,20.9,24.5,3.7,42.9,46.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,Beijing University of Posts and Telecommunications,4.3,2.8,45.2,19.8,9.2,22.4,6.4,27.3,22.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Bielefeld University,19.9,16.3,8.8,16.1,7.5,4.9,25.9,44.1,68.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,Binghamton University SUNY,10.1,15.5,19.5,9.3,14.1,11.3,17.3,44.8,26.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Birmingham City University ,8.2,65.5,6.5,8.7,8,12.1,54.9,37.9,44.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Brigham Young University,7.7,5.3,15.8,6.7,13.5,36.9,1.3,44.6,51.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,CEU Universities,7.3,58.4,3.1,26.5,20.8,16.6,8.4,35.6,18.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,The City College of New York,11.8,8.6,17.8,15,8,7.1,5,39,46.7
"
                     1001-1200
                     
                        
                     
                  ",n/a,Chung Yuan Christian University,9.9,11.8,25.2,6.9,9.2,28.6,5.3,46.7,17.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Chungbuk National University,6.5,21.5,19.6,47.9,4.6,1.8,10.7,50.9,33.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Clark University,2.5,94.6,23.5,25.6,3.6,19.3,15.2,42.4,29.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,William & Mary,10,9,16.2,26.4,14.9,38.6,6,44.4,37.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,Cracow University of Technology (Politechnika Krakowska),12.6,9.2,10,28.3,28.1,10.3,3.4,20.5,44.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,D. Serikbayev East Kazakhstan Technical University,14.6,5.5,1.4,75.9,18.2,4.4,23.7,31,5.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Daffodil International University,15.6,5,6.9,5.7,23,8.3,7.7,51.7,45.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Dankook University ,10,12.6,4.8,72,8.3,3.6,5.5,47.6,17.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,EGE UNIVERSITY,14.5,9.2,5.1,21,24.4,6.6,1.4,33,71.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Financial University under the Government of the Russian Federation,4.9,39.2,2.7,44.1,17.4,57.5,6.7,43.8,37.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Florida Atlantic University - Boca Raton,6.6,13.1,18.2,6.2,15.2,13,8.4,48.4,65.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Fordham University,9.1,23.3,9.6,19.3,16.8,47.6,10.5,32.1,23.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Gebze Technical University (GTU),7,10.6,40.3,9.1,9.5,2.5,19.7,42.2,41.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Georgian Technical University,7.1,n/a,54.4,1,7.1,29.3,n/a,3,7.8
"
                     1001-1200
                     
                        
                     
                  ",n/a,German University of Technology in Oman (GUTECH),9.1,5.9,8.5,5.7,14.3,73.2,100,n/a,14.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Gifu University,6.4,6.2,14.3,58.9,4.5,1.8,7.1,44.1,23.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Glasgow Caledonian University,7.2,77.3,11.2,6.3,9.5,8.5,45.5,56.7,40.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Hallym University,3.4,3.5,13.1,95.6,2.7,1.8,4.3,41.4,9.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Harbin Engineering University,5.2,3.6,46.8,24,6.5,7.2,3,24.3,40
"
                     1001-1200
                     
                        
                     
                  ",n/a,Hohai University,3.2,n/a,33.2,17.8,2.7,1.2,n/a,39.3,74.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Howard University,8.3,6.4,6,43.6,16.1,37.8,1.2,37.9,35.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,MATE Hungarian University of Agriculture and Life Sciences,7.1,43.1,7.2,34.1,8,4.8,4.1,55.4,59
"
                     1001-1200
                     
                        
                     
                  ",n/a,Indiana University–Purdue University Indianapolis,8.9,9,22.6,23.5,8.4,6.5,38.8,43.7,51.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Islamic University of Lebanon,10.6,98.8,1.2,39.6,13.4,3.9,36.7,n/a,2.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Kalinga Institute of Industrial Technology (KIIT) University,6.4,25,5.3,52.1,5.2,1.7,18,50.7,53.3
1001-1200,n/a,Kangwon National University,8,10.2,15.4,32,7.1,3.5,6.5,56.6,28.6
1001-1200,n/a,Kazakh-British Technical University,15.9,4.1,2.6,17.8,41.9,4.3,15.3,32.7,13.9
1001-1200,n/a,Kent State University,7,15.7,20,9,4.8,11.3,25.4,40.8,62.5
1001-1200,n/a,Kookmin University,5.3,63.5,5.3,51,6.2,5.2,7,43.7,9.9
1001-1200,n/a,Kyrgyz Russian Slavic University,10.9,n/a,1,99.9,13.4,35.4,n/a,n/a,1.6
1001-1200,n/a,Kyushu Institute of Technology,5,5.9,37.5,12.9,9,1.8,10.4,34.9,21.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Leeds Beckett University,5.1,45.2,13.5,5.2,10.3,10.8,46.9,61.7,36.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Lobachevsky University,10,37,3.5,50.9,8.2,3.9,2.6,38.2,18
"
                     1001-1200
                     
                        
                     
                  ",n/a,Lodz University of Technology,6,8.3,16,59,7.3,4.1,4.1,40.3,49.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,London Metropolitan University,5.9,97.6,7,4.7,7.3,20.8,68.5,20.9,22.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Loyola University Chicago,12.2,5,12.6,30.5,21.2,24.1,9.3,33.5,36.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Lviv Polytechnic National University,9.6,2.1,2.6,38.6,26.3,17.9,3.7,50.8,20.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Makerere University,13.4,13.6,6.5,5.8,5.3,98.3,8.3,42,65.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Mansoura University,18.8,21.2,5,5.2,15.8,12.6,9.9,55.5,81.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,Marmara University,11.8,6.8,4.9,5.4,23.1,38.1,5.5,42.6,52.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Middle East University Jordan,9.1,90.9,13.2,12.4,7.2,5.9,10.6,8,47.7
"
                     1001-1200
                     
                        
                     
                  ",n/a,Mississippi State University,7.2,5.5,33.5,9.1,8.7,12.8,19.7,38.5,70.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Mustansiriyah University,8.3,6.3,1.8,64.9,23.5,10.4,43.6,26.5,19.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Mutah University,15.6,32.9,3.4,12.1,21.8,10.1,15.7,33.2,28
"
                     1001-1200
                     
                        
                     
                  ",n/a,Mykolas Romeris University,6,51.6,7.1,22.7,12.9,53.2,12.1,50.4,23.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Narxoz University,15.7,20.7,1.5,26.1,14.9,69.7,31,35.6,1
"
                     1001-1200
                     
                        
                     
                  ",n/a,National Research Saratov State University,5,26.9,2.4,97.6,5.3,1.8,4,10.2,14.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,"National Technical University  ""Kharkiv Polytechnic Institute""",7.6,33.3,1.8,61.1,20.8,4.6,2.3,38.9,17.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Nicolaus Copernicus University ,10.3,11.3,9.4,65.8,4.8,3.9,4.6,30.1,81.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Niigata University,6.6,6.1,6.7,88.7,5.1,7.2,6.6,43,23.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Northern Arizona University,9.5,3.8,23.4,6.7,16.2,7.5,3.5,45.2,48
"
                     1001-1200
                     
                        
                     
                  ",n/a,Northern Borders University,13.4,16.1,4.5,28.8,6.4,3,100,15.7,18
"
                     1001-1200
                     
                        
                     
                  ",n/a,Northwest University (China),5.8,4.7,31.8,55.7,3.2,5.1,4.8,33.1,37.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Notre Dame University-Louaize NDU,6.5,27.1,3.8,25.1,19.8,3.9,87.9,17.5,7.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Ohio University,10.9,6.3,14,7.6,13.3,27.9,3.9,38.3,51.8
"
                     1001-1200
                     
                        
                     
                  ",n/a,Pavol Jozef Šafárik University in Košice,6.4,78.5,5.5,69.2,5.6,5.5,7,22.2,41.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Pontificia Universidad Católica del Ecuador (PUCE),24.4,2.6,1.9,13.5,19.1,46.2,18,23,35.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Pontifícia Universidade Católica de São Paulo,13.2,1.5,1.7,48.8,21.2,44.1,5.2,14.9,2.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,Poznan University of Life Sciences,6.6,11.1,14.8,92.2,4.1,4.1,1.7,26.6,37.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Poznan University of Technology,10.9,10.7,12.8,39.8,13.1,7.4,3.4,27.6,47.8
"
                     1001-1200
                     
                        
                     
                  ",n/a,Rhodes University ,8,46.4,18.9,17.2,9.1,42.9,n/a,42.2,56.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Riga Stradins University,7.4,96.1,3.4,16.3,16.2,14.8,30.9,29.5,15.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,Ritsumeikan Asia Pacific University ,8.3,99.7,4.1,4.3,11.8,1.7,99.5,14.4,4.7
"
                     1001-1200
                     
                        
                     
                  ",n/a,SRM Institute of Science and Technology,14.1,2.6,8.6,17.1,21.8,4.9,1.7,49.2,75.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Saint-Petersburg Mining University,3.1,44.4,3.7,79.1,5.9,13.2,28.1,28.3,9.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Samarkand State University,23.7,6.5,1.3,41,18,9.5,25.1,11.6,7.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,San Diego State University,7.9,4.6,22.8,4.5,8.7,32.1,7.9,46.5,70.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Seoul National University of Science and Technology,10.5,32.2,18.9,20.5,7.9,1.9,12,49.7,28.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Sheffield Hallam University,9.8,42.7,7.1,10.9,13.4,12.3,42.6,40.6,60.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,"Siberian Federal University, SibFU",7.8,46,7.9,29.9,9.9,10.3,56.8,44.4,37.7
"
                     1001-1200
                     
                        
                     
                  ",n/a,Silesian University of Technology,8.7,7.1,15.2,39.3,9.8,13.2,4.9,32.1,75.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Slovak University of Technology in Bratislava,10.8,29.1,7.7,48.9,10.6,17.9,4.8,28.1,54.2
"
                     1001-1200
                     
                        
                     
                  ",n/a,Soonchunhyang University,7.7,7.3,10.1,70.9,9.1,1.9,7.5,45.2,12.8
"
                     1001-1200
                     
                        
                     
                  ",n/a,Southern Federal University,7,42.3,3.5,65.4,7.5,3.7,4.9,31.4,43.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Southern Methodist University,6.4,16.3,11.9,37.6,10.9,62.4,15.8,41.9,28.8
"
                     1001-1200
                     
                        
                     
                  ",n/a,Southwest University,3.2,5.3,45.1,12,3.5,16.5,1.5,37.9,51.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Sumgayit State University,14.1,1.4,1.1,97.9,12.6,12,2.6,n/a,1.8
"
                     1001-1200
                     
                        
                     
                  ",n/a,Sumy State University,6.3,29.1,5.2,47.1,11,4.5,3.9,48.2,35.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Sungshin Women's University,9.1,6.6,1.5,85,13.4,1.8,3.7,28.5,2.7
"
                     1001-1200
                     
                        
                     
                  ",n/a,Széchenyi István University (University of Győr),12.2,13.4,2.9,28.9,36.6,4.8,4.9,44.9,16.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Tashkent State University of Economics,15.7,11.3,1.5,14,31.4,23.7,19.2,36.7,13.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Technical University of Kosice,8.2,89.6,10.3,21.4,13.8,21.4,1.8,21.9,40.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Telkom University,13.6,12.1,2.5,23.3,14.7,11.6,53.5,36.3,15.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,The Hashemite University,15.6,18.4,7.8,5.5,23.7,5.1,9.9,45.4,45.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,The University of Texas at Arlington,7,39.7,16.4,6.6,9.2,14.9,12.7,64.5,57.7
"
                     1001-1200
                     
                        
                     
                  ",n/a,Tokyo Metropolitan University,17.5,8,14.8,41.9,8.2,4.9,9.7,26.4,39.5
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Andrés Bello,19.5,3.8,3.9,11.1,16.4,2.5,9.6,56.9,60.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Argentina de la Empresa (UADE),6.4,9.9,1,98.1,17.3,29.2,2.7,n/a,1.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Austral de Chile,19.3,2.5,14.3,4.1,15.4,4.8,20.5,44,45.8
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Diego Portales (UDP),19,6.3,5.5,11.9,25.8,8.8,17.5,36.4,37.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad ICESI,7.8,5.2,2.4,87.6,8.8,12.9,5.1,15.9,7.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Nacional de Rosario (UNR),27.4,10.8,1.4,29.9,14.9,15.2,n/a,18.8,27
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad ORT Uruguay,13.2,2.9,1.4,84.2,22.2,7,17.1,7.4,3.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Peruana Cayetano Heredia (UPCH),15.2,1.8,3.6,59.1,12.1,4.6,1.6,53.2,23.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Pontificia Bolivariana ,10.7,4.5,2.8,83.9,12.7,27.6,4.8,28.5,17.7
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Rey Juan Carlos,12.5,20.3,9.4,11.5,16.9,14.5,24.2,64,65.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Simón Bolívar (USB),19.5,1.1,3.8,23.5,22.6,42,2.1,11.6,11.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad Técnica Federico Santa María (USM),13.3,1.8,8.3,4.7,37.5,17.7,19,42.7,46.3
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad de Castilla-La Mancha,10.7,9.7,17.9,22,4.7,7.9,2.7,46.9,70.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad de Guadalajara (UDG),26.5,1.3,1.6,21.3,12.5,9.8,2.8,55.2,45.1
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad de León,10.4,20.6,9.6,52.1,7.1,3.5,3.7,60.7,46.6
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad de Puerto Rico,14.8,2.1,3.5,23,10.8,71.8,8.3,37.7,43.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad de San Andrés - UdeSA,11.7,7.6,4.1,53,25.2,32.5,10.2,n/a,11.7
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad de Talca,14.4,1.9,13.2,9.1,11.7,2.5,27.4,29.4,46.4
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad de las Américas Puebla (UDLAP),11.7,15.7,3.4,56,13.1,4.7,21.9,18.6,6.9
"
                     1001-1200
                     
                        
                     
                  ",n/a,Universidad del Valle,24.1,2.2,2.8,11.1,9.7,28.8,3.3,34.9,24.7
