WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,T_AVG,IS_RAINIY,IS_FROST
1.71,0.0,0.0,0.0,0.5650557620817844,0.0,0.5389830508474577,0.5033112582781456,0.5614973262032087,0.0,0.0
3.75,0.0,0.0,0.0,0.5315985130111525,0.0,0.5966101694915255,0.5298013245033112,0.4224598930481284,0.0,0.0
8.79,0.0,0.0,0.0,0.4423791821561339,0.0,0.6169491525423729,0.6026490066225165,0.26203208556149743,0.0,0.0
10.34,0.0,0.0,0.0,0.5464684014869888,0.0,0.5830508474576271,0.5562913907284768,0.46524064171123,0.0,0.0
17.12,0.0,0.0014925373134328358,0.0,0.5018587360594796,0.0,0.5525423728813559,0.567435314830643,0.44919786096256703,1.0,0.0
13.96,0.0,0.0,0.0,0.5799256505576209,0.0,0.7457627118644068,0.7748344370860927,0.2566844919786097,0.0,0.0
8.12,0.0,0.0,0.0,0.5799256505576209,0.0,0.711864406779661,0.6423841059602649,0.3101604278074867,0.0,0.0
11.54,0.0,0.0,0.0,0.6059479553903346,0.0,0.6305084745762712,0.4933774834437085,0.4759358288770054,0.0,0.0
2.75,0.0,0.0,0.0,0.7026022304832714,0.0,0.46440677966101696,0.43708609271523174,0.8770053475935833,0.0,1.0
13.0,0.0,0.0,0.0,0.3643122676579926,0.0,0.4610169491525424,0.42715231788079466,0.3957219251336899,0.0,1.0
13.17,0.0,0.007462686567164179,0.0,0.38289962825278817,0.0,0.4847457627118644,0.49006622516556286,0.38502673796791453,1.0,0.0
7.75,0.0,0.0,0.5,0.36059479553903345,0.0,0.5016949152542373,0.42384105960264895,0.32620320855614976,0.0,1.0
15.41,0.0,0.0,0.0,0.4423791821561339,0.0,0.46779661016949153,0.4039735099337748,0.4973262032085563,0.0,1.0
8.17,0.0,0.0,0.0,0.3866171003717473,0.0,0.44745762711864406,0.42052980132450324,0.44919786096256703,0.0,1.0
8.0,0.0,0.0,0.0,0.47583643122676583,0.0,0.49491525423728816,0.4172185430463576,0.502673796791444,0.0,1.0
10.88,0.0,0.0,0.0,0.35315985130111527,0.0,0.576271186440678,0.6423841059602649,0.19786096256684502,0.0,0.0
8.46,0.0,0.0,0.0,0.5427509293680298,0.0,0.5966101694915255,0.6490066225165563,0.4385026737967916,0.0,0.0
10.75,0.0,0.0,0.0,0.4572490706319703,0.0,0.49830508474576274,0.42384105960264895,0.47058823529411775,0.0,1.0
13.75,0.0,0.004477611940298507,0.0,0.4423791821561339,0.0,0.6745762711864407,0.6589403973509933,0.1711229946524065,1.0,0.0
6.75,0.0,0.0,0.0,0.43866171003717475,0.25,0.36271186440677966,0.3112582781456953,0.6577540106951874,0.0,1.0
10.88,0.0,0.016417910447761194,0.0,0.49814126394052055,0.0,0.4033898305084746,0.390728476821192,0.6791443850267381,1.0,1.0
16.62,0.0,0.026865671641791045,0.0,0.550185873605948,0.5,0.6440677966101696,0.6589403973509933,0.37433155080213903,1.0,0.0
14.79,0.0,0.026865671641791045,0.0,0.5167286245353161,0.0,0.711864406779661,0.7615894039735098,0.21925133689839585,1.0,0.0
11.92,0.0,0.016417910447761194,0.0,0.5427509293680298,0.0,0.6305084745762712,0.5662251655629138,0.3850267379679146,1.0,0.0
11.67,0.0,0.03731343283582089,0.0,0.5130111524163569,0.0,0.688135593220339,0.7317880794701985,0.25133689839572193,1.0,0.0
5.25,0.0,0.0,0.0,0.3866171003717473,0.0,0.5661016949152542,0.6423841059602649,0.26203208556149743,0.0,0.0
5.5,0.0,0.03880597014925373,0.0,0.24907063197026025,0.0,0.5050847457627119,0.5827814569536423,0.16042780748663107,1.0,0.0
6.0,0.0,0.14328358208955222,0.0,0.40520446096654283,0.0,0.5186440677966102,0.5298013245033112,0.36363636363636376,1.0,0.0
9.25,0.0,0.0626865671641791,0.0,0.5353159851301116,0.0,0.5491525423728814,0.6158940397350993,0.5026737967914441,1.0,0.0
5.0,0.0,0.0,0.0,0.4423791821561339,0.0,0.6610169491525424,0.6854304635761588,0.19251336898395735,0.0,0.0
5.33,0.0,0.0,0.0,0.38289962825278817,0.0,0.42711864406779665,0.4602649006622516,0.4759358288770054,0.0,1.0
8.71,0.0,0.1208955223880597,0.0,0.4535315985130112,0.0,0.5186440677966102,0.45033112582781454,0.4331550802139039,1.0,1.0
9.96,0.0,0.02835820895522388,0.0,0.4498141263940521,0.0,0.688135593220339,0.7516556291390728,0.16042780748663105,1.0,0.0
5.21,0.0,0.02835820895522388,0.0,0.5390334572490707,0.0,0.7084745762711865,0.7748344370860927,0.2566844919786097,1.0,0.0
5.66,0.0,0.08656716417910447,0.0,0.6022304832713755,0.0,0.5152542372881356,0.4701986754966887,0.6524064171122997,1.0,1.0
